index,A,AG,AL,AP,AU,B,BB,BC,BU,C,CF,CJ,CS,CU,CY,EB,EG,ER,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LH,LR,LU,M,MA,ME,NI,NR,OI,P,PB,PF,PG,PK,PM,PP,RB,RI,RM,RO,RR,RS,RU,SA,SC,SF,SM,SN,SP,SR,SS,T,TA,TC,TF,TS,UR,V,WH,WR,WS,WT,Y,ZC,ZN
20130104,41649.0,258306.0,6806.0,0.0,63218.0,74.0,0.0,0.0,0.0,45810.0,64100.0,0.0,0.0,176256.0,0.0,0.0,0.0,16342.0,0.0,1001748.0,6.0,0.0,0.0,0.0,572312.0,0.0,0.0,453444.0,0.0,0.0,0.0,116052.0,0.0,0.0,0.0,655673.0,0.0,0.0,0.0,0.0,456.0,313171.0,402.0,0.0,0.0,0.0,0.0,0.0,2305966.0,38.0,193882.0,27656.0,0.0,83848.0,253494.0,0.0,0.0,0.0,0.0,0.0,0.0,409880.0,0.0,0.0,507934.0,0.0,0.0,0.0,0.0,38033.0,258.0,10.0,28476.0,0.0,245729.0,0.0,50464.0
20130107,52936.0,288146.0,5074.0,0.0,44956.0,6.0,0.0,0.0,0.0,25112.0,131476.0,0.0,0.0,157236.0,0.0,0.0,0.0,0.0,0.0,1558552.0,34.0,0.0,0.0,0.0,615196.0,0.0,0.0,508138.0,0.0,0.0,0.0,298549.0,0.0,0.0,0.0,905218.0,21788.0,0.0,0.0,0.0,1152.0,302076.0,266.0,0.0,0.0,0.0,4.0,0.0,2896484.0,8.0,406060.0,0.0,0.0,205756.0,378260.0,0.0,0.0,0.0,0.0,0.0,0.0,990804.0,0.0,0.0,887378.0,0.0,0.0,0.0,0.0,39366.0,952.0,8.0,0.0,0.0,267007.0,0.0,93136.0
20130108,53321.0,195804.0,5922.0,0.0,32290.0,11.0,0.0,0.0,0.0,62465.0,61894.0,0.0,0.0,173288.0,0.0,0.0,0.0,0.0,0.0,2761400.0,6.0,0.0,0.0,0.0,729477.0,0.0,0.0,583127.0,0.0,0.0,0.0,266187.0,0.0,0.0,0.0,675845.0,41610.0,0.0,0.0,0.0,258.0,359045.0,134.0,0.0,0.0,0.0,0.0,0.0,2523894.0,0.0,899582.0,0.0,0.0,96738.0,358170.0,0.0,0.0,0.0,0.0,0.0,0.0,913760.0,0.0,0.0,950086.0,0.0,0.0,0.0,0.0,17346.0,1554.0,0.0,0.0,0.0,245417.0,0.0,89728.0
20130109,22009.0,174856.0,3710.0,0.0,37642.0,16.0,0.0,0.0,0.0,66364.0,77330.0,0.0,0.0,106456.0,0.0,0.0,0.0,0.0,0.0,2100312.0,0.0,0.0,0.0,0.0,629921.0,0.0,0.0,511795.0,0.0,0.0,0.0,224339.0,0.0,0.0,0.0,864413.0,13488.0,0.0,0.0,0.0,308.0,262935.0,124.0,0.0,0.0,0.0,8.0,0.0,2208806.0,156.0,696804.0,0.0,0.0,100380.0,310256.0,0.0,0.0,0.0,0.0,0.0,0.0,578074.0,0.0,0.0,887866.0,0.0,0.0,0.0,0.0,29653.0,1848.0,0.0,0.0,0.0,176670.0,0.0,55604.0
20130110,17663.0,142480.0,6538.0,0.0,29456.0,3.0,0.0,0.0,0.0,25392.0,27944.0,0.0,0.0,196634.0,0.0,0.0,0.0,0.0,0.0,2311352.0,2.0,0.0,0.0,0.0,724539.0,0.0,0.0,458375.0,0.0,0.0,0.0,131616.0,0.0,0.0,0.0,525977.0,16798.0,0.0,0.0,0.0,2000.0,321263.0,136.0,0.0,0.0,0.0,2.0,0.0,2885508.0,194.0,591086.0,0.0,0.0,54266.0,280448.0,0.0,0.0,0.0,0.0,0.0,0.0,394948.0,0.0,0.0,483108.0,0.0,0.0,0.0,0.0,20810.0,4450.0,12.0,0.0,0.0,183164.0,0.0,71008.0
20130111,72474.0,208212.0,8978.0,0.0,36272.0,7.0,0.0,0.0,0.0,25262.0,52356.0,0.0,0.0,200560.0,0.0,0.0,0.0,0.0,0.0,1916270.0,8.0,0.0,0.0,0.0,784689.0,0.0,0.0,533682.0,0.0,0.0,0.0,237128.0,0.0,0.0,0.0,533555.0,17196.0,0.0,0.0,0.0,1564.0,349008.0,172.0,0.0,0.0,0.0,0.0,0.0,3186202.0,16.0,1621470.0,0.0,0.0,91932.0,400080.0,0.0,0.0,0.0,0.0,0.0,0.0,562692.0,0.0,0.0,727624.0,0.0,0.0,0.0,0.0,19053.0,1200.0,6.0,0.0,0.0,220550.0,0.0,80900.0
20130114,56765.0,173020.0,7604.0,0.0,28512.0,14.0,0.0,0.0,0.0,51127.0,65032.0,0.0,0.0,148282.0,0.0,0.0,0.0,0.0,0.0,1878770.0,10.0,0.0,0.0,0.0,744878.0,0.0,0.0,757989.0,0.0,0.0,0.0,227768.0,0.0,0.0,0.0,780244.0,21322.0,0.0,0.0,0.0,362.0,250119.0,206.0,0.0,0.0,0.0,8.0,0.0,3884908.0,110.0,1299760.0,0.0,0.0,76848.0,349848.0,0.0,0.0,0.0,0.0,0.0,0.0,418048.0,0.0,0.0,619756.0,0.0,0.0,0.0,0.0,18197.0,2026.0,2.0,0.0,0.0,165361.0,0.0,87892.0
20130115,39486.0,264790.0,20090.0,0.0,46930.0,2.0,0.0,0.0,0.0,29589.0,98664.0,0.0,0.0,192938.0,0.0,0.0,0.0,0.0,0.0,3006350.0,0.0,0.0,0.0,0.0,445268.0,0.0,0.0,552692.0,0.0,0.0,0.0,444901.0,0.0,0.0,0.0,646822.0,12486.0,0.0,0.0,0.0,1584.0,232207.0,270.0,0.0,0.0,0.0,4.0,0.0,2434790.0,46.0,1674334.0,0.0,0.0,142592.0,427780.0,0.0,0.0,0.0,0.0,0.0,0.0,364982.0,0.0,0.0,1021918.0,0.0,0.0,0.0,0.0,13021.0,2068.0,12.0,0.0,0.0,153012.0,0.0,137296.0
20130116,26715.0,178166.0,9182.0,0.0,38706.0,2.0,0.0,0.0,0.0,17416.0,81740.0,0.0,0.0,161464.0,0.0,0.0,0.0,0.0,0.0,4239926.0,12.0,0.0,0.0,0.0,381661.0,0.0,0.0,596658.0,0.0,0.0,0.0,373203.0,0.0,0.0,0.0,738782.0,8844.0,0.0,0.0,0.0,980.0,199827.0,124.0,0.0,0.0,0.0,2.0,0.0,2696402.0,32.0,1070868.0,0.0,0.0,62770.0,350832.0,0.0,0.0,0.0,0.0,0.0,0.0,371858.0,0.0,0.0,633116.0,0.0,0.0,0.0,0.0,17358.0,3046.0,6.0,0.0,0.0,128874.0,0.0,80284.0
20130117,22117.0,150812.0,8508.0,0.0,33994.0,23.0,0.0,0.0,0.0,44463.0,49564.0,0.0,0.0,129554.0,0.0,0.0,0.0,0.0,0.0,3961892.0,4.0,0.0,0.0,0.0,692567.0,0.0,0.0,555512.0,0.0,0.0,0.0,140581.0,0.0,0.0,0.0,749232.0,31006.0,0.0,0.0,0.0,576.0,227121.0,116.0,0.0,0.0,0.0,2.0,0.0,2441574.0,36.0,815406.0,0.0,0.0,41752.0,272300.0,0.0,0.0,0.0,0.0,0.0,0.0,373068.0,0.0,0.0,555608.0,0.0,0.0,0.0,0.0,8084.0,1676.0,0.0,0.0,0.0,104097.0,0.0,61730.0
20130118,29288.0,183112.0,5478.0,0.0,28408.0,3.0,0.0,0.0,0.0,19380.0,50846.0,0.0,0.0,128444.0,0.0,0.0,0.0,0.0,0.0,3867610.0,2.0,0.0,0.0,0.0,822573.0,0.0,0.0,738394.0,0.0,0.0,0.0,228419.0,0.0,0.0,0.0,733301.0,28766.0,0.0,0.0,0.0,960.0,268645.0,70.0,0.0,0.0,0.0,8.0,0.0,2346678.0,598.0,947392.0,0.0,0.0,64614.0,282882.0,0.0,0.0,0.0,0.0,0.0,0.0,277480.0,0.0,0.0,774086.0,0.0,0.0,0.0,0.0,22571.0,384.0,0.0,0.0,0.0,124365.0,0.0,68160.0
20130121,28079.0,151058.0,4678.0,0.0,20808.0,7.0,0.0,0.0,0.0,17574.0,41906.0,0.0,0.0,56068.0,0.0,0.0,0.0,0.0,0.0,3225458.0,6.0,0.0,0.0,0.0,646027.0,0.0,0.0,641627.0,0.0,0.0,0.0,100427.0,0.0,0.0,0.0,526003.0,53326.0,0.0,0.0,0.0,1574.0,150525.0,36.0,0.0,0.0,0.0,10.0,0.0,2373354.0,68.0,568840.0,0.0,0.0,41540.0,202064.0,0.0,0.0,0.0,0.0,0.0,0.0,345136.0,0.0,0.0,378472.0,0.0,0.0,0.0,0.0,11466.0,1376.0,0.0,0.0,0.0,81933.0,0.0,47974.0
20130122,22220.0,145342.0,5398.0,0.0,28632.0,0.0,0.0,0.0,0.0,15341.0,29330.0,0.0,0.0,96422.0,0.0,0.0,0.0,0.0,0.0,3070314.0,2.0,0.0,0.0,0.0,774966.0,0.0,0.0,680627.0,0.0,0.0,0.0,126825.0,0.0,0.0,0.0,589620.0,37432.0,0.0,0.0,0.0,1466.0,146859.0,400.0,0.0,0.0,0.0,10.0,0.0,2299268.0,66.0,543526.0,0.0,0.0,22418.0,297090.0,0.0,0.0,0.0,0.0,0.0,0.0,354880.0,0.0,0.0,817626.0,0.0,0.0,0.0,0.0,7739.0,1616.0,64.0,0.0,0.0,205322.0,0.0,57412.0
20130123,14243.0,93064.0,3120.0,0.0,20290.0,0.0,0.0,0.0,0.0,15338.0,143910.0,0.0,0.0,43190.0,0.0,0.0,0.0,0.0,0.0,2053414.0,4.0,0.0,0.0,0.0,694347.0,0.0,0.0,517438.0,0.0,0.0,0.0,98375.0,0.0,0.0,0.0,426151.0,61882.0,0.0,0.0,0.0,1234.0,91373.0,184.0,0.0,0.0,0.0,8.0,0.0,2698600.0,104.0,411626.0,0.0,0.0,181816.0,166216.0,0.0,0.0,0.0,0.0,0.0,0.0,635768.0,0.0,0.0,474190.0,0.0,0.0,0.0,0.0,9146.0,1416.0,70.0,0.0,0.0,165765.0,0.0,40616.0
20130124,21507.0,159904.0,5042.0,0.0,38244.0,2.0,0.0,0.0,0.0,33702.0,69114.0,0.0,0.0,44846.0,0.0,0.0,0.0,0.0,0.0,2346462.0,2.0,0.0,0.0,0.0,955841.0,0.0,0.0,635914.0,0.0,0.0,0.0,184120.0,0.0,0.0,0.0,531460.0,36616.0,0.0,0.0,0.0,1310.0,119547.0,240.0,0.0,0.0,0.0,16.0,0.0,3701298.0,118.0,771526.0,0.0,0.0,152728.0,298740.0,0.0,0.0,0.0,0.0,0.0,0.0,454178.0,0.0,0.0,1002706.0,0.0,0.0,0.0,0.0,37523.0,3936.0,18.0,0.0,0.0,251906.0,0.0,51288.0
