index,A,AG,AL,AP,AU,B,BB,BC,BU,C,CF,CJ,CS,CU,CY,EB,EG,ER,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LH,LR,LU,M,MA,ME,NI,NR,OI,P,PB,PF,PG,PK,PM,PP,RB,RI,RM,RO,RR,RS,RU,SA,SC,SF,SM,SN,SP,SR,SS,T,TA,TC,TF,TS,UR,V,WH,WR,WS,WT,Y,ZC,ZN
20130104,0.004166667,-0.004166667,-0.004166667,,-0.004166667,-0.004166667,,,,0.004166667,0.004166667,,,-0.004166667,,,,0.004166667,,0.004166667,,,,,-0.004166667,,,0.004166667,,,,-0.004166667,,,,0.004166667,,,,,0.004166667,0.004166667,-0.004166667,,,,,,-0.004166667,-0.004166667,0.004166667,0.004166667,,0.004166667,-0.004166667,,,,,,,0.004166667,,,-0.004166667,,,,,0.004166667,0.004166667,0.004166667,0.004166667,,0.004166667,,-0.004166667
20130107,0.008333334,,,,,-0.008333334,,,,0.008333334,0.008333334,,,-0.008333334,,,,0.004166667,,0.008333334,-0.004166667,,,,-0.008333334,,,,,,,,,,,0.008333334,0.004166667,,,,,,-0.008333334,,,,0.004166667,,-0.008333334,,0.008333334,0.004166667,,0.008333334,-0.008333334,,,,,,,0.008333334,,,,,,,,0.008333334,0.008333334,0.008333334,0.004166667,,,,-0.008333334
20130108,0.004166667,-0.004166667,-0.004166667,,-0.004166667,-0.0125,,,,0.0125,0.004166667,,,-0.004166667,,,,0.004166667,,0.0125,,,,,-0.0125,,,0.004166667,,,,-0.004166667,,,,0.0125,0.008333334,,,,0.004166667,-0.004166667,-0.0125,,,,0.004166667,,-0.0125,,0.0125,0.004166667,,0.004166667,-0.004166667,,,,,,,0.0125,,,-0.004166667,,,,,0.004166667,0.0125,0.008333334,0.004166667,,-0.004166667,,-0.0125
20130109,,,-0.008333334,,,-0.008333334,,,,0.008333334,0.008333334,,,-0.008333334,,,,0.004166667,,0.016666668,,,,,-0.016666668,,,,,,,-0.008333334,,,,0.008333334,0.004166667,,,,0.008333334,-0.008333334,-0.008333334,,,,,,-0.016666668,,0.008333334,0.004166667,,0.008333334,-0.008333334,,,,,,,0.008333334,,,-0.008333334,,,,,0.008333334,0.008333334,0.008333334,0.004166667,,-0.008333334,,-0.008333334
20130110,0.004166667,0.004166667,-0.004166667,,0.004166667,-0.004166667,,,,0.004166667,0.0125,,,-0.004166667,,,,0.004166667,,0.0125,,,,,-0.0125,,,-0.004166667,,,,-0.0125,,,,0.004166667,0.008333334,,,,0.0125,-0.0125,-0.004166667,,,,,,-0.0125,-0.004166667,0.004166667,0.004166667,,0.004166667,-0.0125,,,,,,,0.004166667,,,-0.0125,,,,,0.004166667,0.004166667,0.0125,0.004166667,,-0.0125,,-0.004166667
20130111,0.008333334,,-0.008333334,,,,,,,,0.016666668,,,-0.008333334,,,,0.004166667,,0.008333334,-0.004166667,,,,-0.016666668,,,-0.008333334,,,,-0.016666668,,,,,0.004166667,,,,0.008333334,-0.016666668,-0.008333334,,,,,,-0.016666668,-0.008333334,0.008333334,0.004166667,,,-0.016666668,,,,,,,,,,-0.016666668,,,,,,,0.016666668,0.004166667,,-0.016666668,,-0.008333334
20130114,0.0125,0.004166667,-0.0125,,0.004166667,-0.004166667,,,,-0.004166667,0.020833334,,,-0.004166667,,,,0.004166667,,0.0125,-0.008333334,,,,-0.0125,,,-0.004166667,,,,-0.0125,,,,0.004166667,0.008333334,,,,0.004166667,-0.020833334,-0.004166667,,,,-0.004166667,,-0.0125,-0.004166667,0.0125,0.004166667,,0.004166667,-0.0125,,,,,,,-0.004166667,,,-0.0125,,,,,0.004166667,-0.004166667,0.016666668,0.004166667,,-0.016666668,,-0.004166667
20130115,0.008333334,,-0.016666668,,0.008333334,-0.008333334,,,,-0.008333334,0.025,,,-0.008333334,,,,0.004166667,,0.008333334,-0.008333334,,,,-0.008333334,,,-0.008333334,,,,-0.016666668,,,,,0.004166667,,,,,-0.025,-0.008333334,,,,,,-0.016666668,-0.008333334,0.016666668,0.004166667,,,-0.016666668,,,,,,,-0.008333334,,,-0.016666668,,,,,,-0.008333334,0.0125,0.004166667,,-0.020833334,,-0.008333334
20130116,0.0125,-0.004166667,-0.0125,,0.008333334,-0.0125,,,,-0.004166667,0.029166667,,,-0.004166667,,,,0.004166667,,0.0125,-0.004166667,,,,-0.0125,,,-0.0125,,,,-0.0125,,,,0.004166667,,,,,-0.004166667,-0.020833334,-0.0125,,,,,,-0.020833334,-0.0125,0.020833334,0.004166667,,0.004166667,-0.0125,,,,,,,-0.004166667,,,-0.0125,,,,,-0.004166667,-0.0125,0.016666668,0.004166667,,-0.025,,-0.004166667
20130117,0.008333334,-0.008333334,-0.008333334,,0.004166667,-0.016666668,,,,-0.008333334,0.025,,,-0.008333334,,,,0.004166667,,0.016666668,-0.008333334,,,,-0.016666668,,,-0.008333334,,,,-0.016666668,,,,,0.004166667,,,,-0.008333334,-0.025,-0.016666668,,,,,,-0.016666668,-0.0125,0.016666668,0.004166667,,,-0.008333334,,,,,,,-0.008333334,,,-0.008333334,,,,,-0.008333334,-0.016666668,0.016666668,0.004166667,,-0.029166667,,
20130118,0.0125,-0.004166667,-0.008333334,,0.008333334,-0.0125,,,,-0.004166667,0.029166667,,,-0.004166667,,,,0.004166667,,0.0125,-0.008333334,,,,-0.0125,,,-0.004166667,,,,-0.0125,,,,-0.004166667,0.008333334,,,,-0.0125,-0.020833334,-0.020833334,,,,0.004166667,,-0.0125,-0.008333334,0.0125,0.004166667,,0.004166667,-0.004166667,,,,,,,-0.004166667,,,-0.004166667,,,,,-0.004166667,-0.020833334,0.016666668,0.004166667,,-0.025,,0.004166667
20130121,0.016666668,-0.008333334,-0.0125,,0.0125,-0.008333334,,,,-0.008333334,0.025,,,-0.008333334,,,,0.004166667,,0.016666668,-0.0125,,,,-0.016666668,,,-0.008333334,,,,-0.016666668,,,,,0.004166667,,,,-0.008333334,-0.016666668,-0.025,,,,,,-0.016666668,-0.0125,0.008333334,0.004166667,,,-0.008333334,,,,,,,-0.008333334,,,-0.008333334,,,,,-0.008333334,-0.025,0.016666668,0.004166667,,-0.020833334,,
20130122,0.020833334,-0.004166667,-0.008333334,,0.016666668,-0.008333334,,,,-0.004166667,0.029166667,,,-0.004166667,,,,0.004166667,,0.0125,-0.0125,,,,-0.020833334,,,-0.004166667,,,,-0.0125,,,,0.004166667,,,,,-0.004166667,-0.0125,-0.020833334,,,,-0.004166667,,-0.0125,-0.016666668,0.0125,0.004166667,,0.004166667,-0.004166667,,,,,,,-0.0125,,,-0.0125,,,,,-0.008333334,-0.029166667,0.020833334,0.004166667,,-0.025,,0.004166667
20130123,0.016666668,-0.008333334,-0.0125,,0.0125,-0.008333334,,,,,0.033333335,,,-0.008333334,,,,0.004166667,,0.008333334,-0.016666668,,,,-0.016666668,,,,,,,-0.016666668,,,,,0.004166667,,,,-0.008333334,-0.016666668,-0.020833334,,,,,,-0.008333334,-0.020833334,0.008333334,0.004166667,,0.008333334,-0.008333334,,,,,,,-0.016666668,,,-0.016666668,,,,,-0.0125,-0.033333335,0.016666668,0.004166667,,-0.029166667,,0.008333334
20130124,0.020833334,-0.0125,-0.016666668,,0.008333334,-0.004166667,,,,-0.004166667,0.0375,,,-0.0125,,,,0.004166667,,0.004166667,-0.016666668,,,,-0.020833334,,,-0.004166667,,,,-0.020833334,,,,-0.004166667,,,,,-0.0125,-0.020833334,-0.025,,,,-0.004166667,,-0.0125,-0.025,0.004166667,0.004166667,,0.004166667,-0.0125,,,,,,,-0.020833334,,,-0.0125,,,,,-0.016666668,-0.0375,0.0125,0.004166667,,-0.033333335,,0.004166667
20130125,0.025,-0.008333334,-0.020833334,,0.0125,-0.004166667,,,,,0.033333335,,,-0.008333334,,,,0.004166667,,,-0.020833334,,,,-0.025,,,,,,,-0.016666668,,,,-0.004166667,0.004166667,,,,-0.016666668,-0.025,-0.020833334,,,,,,-0.008333334,-0.029166667,0.008333334,0.004166667,,0.008333334,-0.016666668,,,,,,,-0.025,,,-0.008333334,,,,,-0.0125,-0.041666668,0.008333334,0.004166667,,-0.0375,,0.008333334
20130128,0.029166667,-0.008333334,-0.025,,0.016666668,-0.004166667,,,,0.004166667,0.0375,,,-0.004166667,,,,0.004166667,,0.004166667,-0.025,,,,-0.020833334,,,-0.004166667,,,,-0.0125,,,,,,,,,-0.020833334,-0.029166667,-0.025,,,,0.004166667,,-0.0125,-0.033333335,0.0125,0.004166667,,0.0125,-0.0125,,,,,,,-0.029166667,,,-0.004166667,,,,,-0.008333334,-0.045833334,0.008333334,0.004166667,,-0.041666668,,0.008333334
20130129,0.029166667,-0.004166667,-0.020833334,,0.020833334,-0.004166667,,,,,0.041666668,,,,,,,0.004166667,,0.008333334,-0.029166667,,,,-0.016666668,,,,,,,-0.008333334,,,,-0.004166667,0.004166667,,,,-0.025,-0.033333335,-0.020833334,,,,0.004166667,,-0.008333334,-0.029166667,0.008333334,0.004166667,,0.008333334,-0.008333334,,,,,,,-0.033333335,,,,,,,,-0.0125,-0.041666668,0.004166667,0.004166667,,-0.045833334,,0.0125
20130130,0.033333335,,-0.016666668,,0.025,,,,,0.004166667,0.0375,,,0.004166667,,,,0.004166667,,0.004166667,-0.025,,,,-0.0125,,,-0.004166667,,,,-0.0125,,,,,0.008333334,,,,-0.020833334,-0.029166667,-0.016666668,,,,0.004166667,,-0.004166667,-0.025,0.0125,0.004166667,,0.0125,-0.004166667,,,,,,,-0.029166667,,,0.004166667,,,,,-0.008333334,-0.0375,,0.004166667,,-0.041666668,,0.016666668
20130131,0.029166667,0.004166667,-0.020833334,,0.020833334,-0.004166667,,,,,0.033333335,,,0.008333334,,,,0.004166667,,0.008333334,-0.025,,,,-0.008333334,,,,,,,-0.008333334,,,,-0.004166667,0.004166667,,,,-0.025,-0.025,-0.0125,,,,0.004166667,,,-0.029166667,0.008333334,0.004166667,,0.008333334,,,,,,,,-0.025,,,,,,,,-0.0125,-0.041666668,-0.004166667,0.004166667,,-0.0375,,0.020833334
20130201,0.033333335,,-0.025,,0.025,-0.004166667,,,,-0.004166667,0.029166667,,,0.0125,,,,0.004166667,,0.0125,-0.029166667,,,,-0.004166667,,,-0.004166667,,,,-0.004166667,,,,,0.008333334,,,,-0.029166667,-0.020833334,-0.008333334,,,,0.008333334,,0.004166667,-0.025,0.004166667,0.004166667,,0.004166667,0.004166667,,,,,,,-0.020833334,,,0.004166667,,,,,-0.016666668,-0.0375,-0.004166667,0.004166667,,-0.041666668,,0.016666668
20130204,0.029166667,0.004166667,-0.020833334,,0.029166667,-0.008333334,,,,-0.008333334,0.033333335,,,0.008333334,,,,0.004166667,,0.016666668,-0.025,,,,-0.008333334,,,,,,,,,,,-0.004166667,0.0125,,,,-0.025,-0.025,-0.0125,,,,0.008333334,,0.008333334,-0.020833334,0.008333334,0.004166667,,0.008333334,,,,,,,,-0.025,,,0.008333334,,,,,-0.0125,-0.033333335,-0.004166667,0.004166667,,-0.0375,,0.020833334
20130205,0.025,0.008333334,-0.025,,0.033333335,-0.008333334,,,,-0.0125,0.0375,,,0.0125,,,,0.004166667,,0.020833334,-0.029166667,,,,-0.004166667,,,-0.004166667,,,,0.004166667,,,,-0.008333334,0.008333334,,,,-0.029166667,-0.029166667,-0.016666668,,,,0.004166667,,0.004166667,-0.016666668,0.0125,0.004166667,,0.004166667,0.004166667,,,,,,,-0.029166667,,,0.004166667,,,,,-0.016666668,-0.029166667,-0.008333334,0.004166667,,-0.041666668,,0.016666668
