index,A,AG,AL,AP,AU,B,BB,BC,BU,C,CF,CJ,CS,CU,CY,EB,EG,ER,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LH,LR,LU,M,MA,ME,NI,NR,OI,P,PB,PF,PG,PK,PM,PP,RB,RI,RM,RO,RR,RS,RU,SA,SC,SF,SM,SN,SP,SR,SS,T,TA,TC,TF,TS,UR,V,WH,WR,WS,WT,Y,ZC,ZN
20130104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130124,68.72037914691943,77.97619047619048,26.273553987726256,0.0,60.978888544781285,29.629629629629633,0.0,0.0,0.0,26.984126984126984,87.37373737373738,0.0,0.0,50.88161209068011,0.0,0.0,0.0,0.0,0.0,59.813084112149525,61.330049261083744,0.0,0.0,0.0,58.25280918898416,0.0,0.0,54.012345679012356,0.0,0.0,0.0,39.88764044943821,0.0,0.0,0.0,64.39790575916231,96.22342113614725,0.0,0.0,0.0,40.41811846689895,30.940594059405946,38.508879727367265,0.0,0.0,0.0,59.70757430488975,0.0,54.1015625,50.22254012509679,65.97402597402598,0.0,0.0,50.544662309368185,38.801261829652994,0.0,0.0,0.0,0.0,0.0,0.0,35.909924288818615,0.0,0.0,45.780590717299575,0.0,0.0,0.0,0.0,45.6140350877193,22.58064516129032,53.88026607538803,0.0,0.0,34.886977475079895,0.0,43.42630233252832
20130125,70.66666666666667,74.513235615839,26.273553987726256,0.0,56.523545048662015,26.46310432569975,0.0,0.0,0.0,29.39787485242031,88.44238975817923,0.0,0.0,53.4011121338295,0.0,0.0,0.0,0.0,0.0,60.21352313167259,52.192841019026126,0.0,0.0,0.0,58.61577250606983,0.0,0.0,55.05800464037123,0.0,0.0,0.0,42.66281945589448,0.0,0.0,0.0,66.74191121143718,96.24012638230649,0.0,0.0,0.0,45.15173945225759,31.30681818181818,46.765821496204936,0.0,0.0,0.0,59.87673965996304,0.0,57.9895489548955,50.27021251004863,66.98972669121922,0.0,0.0,53.69527694963126,37.837198296261235,0.0,0.0,0.0,0.0,0.0,0.0,34.317392708159325,0.0,0.0,48.91437308868502,0.0,0.0,0.0,0.0,50.30826140567201,21.82254196642686,51.89748644652538,0.0,0.0,39.34043912655655,0.0,50.44296066347423
20130128,73.28319241179429,66.80144230043904,22.94432156248991,0.0,52.40046723446542,26.463104325699742,0.0,0.0,0.0,35.16804269869069,88.50402699172835,0.0,0.0,50.473528848246204,0.0,0.0,0.0,0.0,0.0,64.41408354145243,55.743219969228655,0.0,0.0,0.0,67.2119031714582,0.0,0.0,54.486205800275535,0.0,0.0,0.0,51.4185159314384,0.0,0.0,0.0,70.58010342532384,96.13444562097436,0.0,0.0,0.0,44.81829656562612,31.30681818181818,41.96196846481568,0.0,0.0,0.0,59.782961229714026,0.0,57.04341130442021,50.23912312492796,68.55211011520049,0.0,0.0,54.55536207162065,38.49547959514461,0.0,0.0,0.0,0.0,0.0,0.0,29.220581455170336,0.0,0.0,53.42405524814482,0.0,0.0,0.0,0.0,53.747682528471806,20.523941707147817,52.717290038880535,0.0,0.0,40.25720584355558,0.0,47.92145550834794
